post_id,registrationNumber,body,count_comments,count_likes
5c4f0d1164710a0001857596,00011,bonjour tout le monde,0,0
5c4f0d1164710a0001857597,00011,bonjour tout le monde,0,0
5c4f0d1164710a0001857598,00011,bonjour tout le monde,0,0
5c4f0d1164710a0001857599,00011,bonjour tout le monde,0,0
5c4f0d1164710a000185759a,00011,bonjour tout le monde,0,0
5c4f0d1164710a000185759b,00011,bonjour tout le monde,0,0
5c4f0d1164710a000185759c,00011,bonjour tout le monde,0,0
5c4f0d1164710a000185759d,00011,bonjour tout le monde,0,0
5c4f0d1164710a000185759e,00011,bonjour tout le monde,0,0
5c4f0d1164710a000185759f,00011,bonjour tout le monde,0,0
5c4f0d1164710a00018575a0,00011,bonjour tout le monde,0,0
5c4f0d1164710a00018575a1,00011,bonjour tout le monde,0,0
5c4f197c64710a00018575a3,nan,bonjour tout le monde,0,0
5c4f197c64710a00018575a4,nan,bonjour tout le monde,0,0
5c4f19d764710a00018575a6,nan,bonjour tout le monde,0,3
5c4f19d764710a00018575a7,nan,bonjour tout le monde,0,3
5c4f19d764710a00018575a8,00001,bonjour tout le monde,12,32
5c50103064710a00018575ae,00011,bonjour tout le monde,0,1
5c50103064710a00018575af,00011,bonjour tout le monde,0,3
5c50103064710a00018575b0,00011,bonjour tout le monde,0,4
5c50103064710a00018575b1,00011,bonjour tout le monde,0,1
5c50103064710a00018575b2,00011,bonjour tout le monde,2,4
5c50103064710a00018575b3,00011,bonjour tout le monde,1,5
5c50103064710a00018575b4,00011,bonjour tout le monde,0,2
5c50103064710a00018575b5,00011,bonjour tout le monde,0,3
5c50103064710a00018575b6,00011,bonjour tout le monde,0,0
5c50103064710a00018575b7,00011,bonjour tout le monde,0,2
5c50103064710a00018575b8,00011,bonjour tout le monde,0,2
5c50103064710a00018575b9,00011,bonjour tout le monde,0,2
5c50103064710a00018575ba,00011,bonjour tout le monde,0,3
5c50103064710a00018575bb,00011,bonjour tout le monde,0,3
5c50103064710a00018575bc,00011,bonjour tout le monde,0,2
5c50103064710a00018575bd,00011,bonjour tout le monde,0,3
5c50103064710a00018575be,00011,bonjour tout le monde,0,5
5c50103064710a00018575bf,00011,bonjour tout le monde,6,43
5c50322464710a00018575c8,00093,bonjour tout le monde,8,33
5c5042f464710a00018575ce,00130,bonjour tout le monde,17,43
5c504df564710a00018575d1,nan,bonjour tout le monde,0,1
5c504df564710a00018575d2,nan,bonjour tout le monde,0,1
5c504df564710a00018575d3,nan,bonjour tout le monde,0,0
5c504df564710a00018575d4,nan,bonjour tout le monde,0,0
5c504df564710a00018575d5,nan,bonjour tout le monde,0,0
5c504df564710a00018575d6,nan,bonjour tout le monde,0,0
5c504df564710a00018575d7,00012,bonjour tout le monde,8,24
5c50677f64710a00018575e4,00093,bonjour tout le monde,5,35
5c506bb664710a00018575e5,00052,bonjour tout le monde,2,20
5c5154b864710a00018575f4,00085,bonjour tout le monde,13,32
5c5181ec64710a00018575fa,00070,bonjour tout le monde,0,2
5c5181ec64710a00018575fb,00070,bonjour tout le monde,0,2
5c5181ec64710a00018575fc,00070,bonjour tout le monde,1,33
5c52b20964710a0001857609,00011,bonjour tout le monde,17,30
5c52d41f64710a000185761c,00052,bonjour tout le monde,0,11
5c52fedb64710a0001857623,00003,bonjour tout le monde,18,33
5c530de264710a000185762c,00064,bonjour tout le monde,7,26
5c5313e764710a0001857634,00038,bonjour tout le monde,4,39
5c54038a64710a0001857642,00070,bonjour tout le monde,10,30
5c540d8564710a0001857649,00072,bonjour tout le monde,9,29
5c5432e864710a0001857653,00138,bonjour tout le monde,12,41
5c580fe764710a0001857670,00092,bonjour tout le monde,8,21
5c58115864710a0001857671,00086,bonjour tout le monde,0,1
5c58115864710a0001857672,00086,bonjour tout le monde,0,1
5c58115864710a0001857673,00086,bonjour tout le monde,0,1
5c58115864710a0001857674,00086,bonjour tout le monde,0,1
5c58115864710a0001857675,00086,bonjour tout le monde,0,1
5c58115864710a0001857676,00086,bonjour tout le monde,0,1
5c58115864710a0001857677,00086,bonjour tout le monde,0,2
5c58115864710a0001857678,00086,bonjour tout le monde,5,30
5c58158964710a000185767b,00125,bonjour tout le monde,10,22
5c58211c64710a0001857681,00093,bonjour tout le monde,8,40
5c594fc464710a0001857697,00032,bonjour tout le monde,23,33
5c5bfd8964710a00018576b2,00003,bonjour tout le monde,2,19
5c5c170864710a00018576b4,00040,bonjour tout le monde,2,23
5c5d3f8164710a00018576b8,00003,bonjour tout le monde,0,1
5c5d3f8164710a00018576b9,00003,bonjour tout le monde,0,0
5c5d3f8164710a00018576ba,00003,bonjour tout le monde,0,0
5c5d3f8164710a00018576bb,00003,bonjour tout le monde,0,0
5c5d3f8164710a00018576bc,00003,bonjour tout le monde,11,33
5c5d922a64710a00018576c3,00142,bonjour tout le monde,3,24
5c5d933564710a00018576c4,00002,bonjour tout le monde,7,22
5c5dccd964710a00018576d1,00072,bonjour tout le monde,3,20
5c5fdef664710a00018576d5,00032,bonjour tout le monde,15,23
5c61931a64710a00018576e3,00034,bonjour tout le monde,20,29
5c62813e64710a00018576f7,00011,bonjour tout le monde,2,2
5c62813e64710a00018576f8,00011,bonjour tout le monde,0,1
5c62813e64710a00018576f9,00011,bonjour tout le monde,0,1
5c62813e64710a00018576fa,00011,bonjour tout le monde,9,19
5c62845f64710a00018576fb,00032,bonjour tout le monde,0,2
5c62845f64710a00018576fc,00032,bonjour tout le monde,0,0
5c62845f64710a00018576fd,00032,bonjour tout le monde,0,0
5c62845f64710a00018576fe,00032,bonjour tout le monde,0,0
5c62845f64710a00018576ff,00032,bonjour tout le monde,12,28
5c62a39364710a0001857713,00006,bonjour tout le monde,9,19
5c62f04f64710a000185771f,00056,bonjour tout le monde,11,31
5c62f4aa64710a0001857720,00064,bonjour tout le monde,2,28
5c63010c64710a0001857726,00011,bonjour tout le monde,5,21
5c6326a664710a000185772b,00126,bonjour tout le monde,0,0
5c6333ad64710a000185772d,00126,bonjour tout le monde,0,0
5c63d61a64710a0001857734,00118,bonjour tout le monde,10,25
5c63f68864710a000185773a,00052,bonjour tout le monde,0,20
5c652e5b64710a000185774b,00040,bonjour tout le monde,3,28
5c65533564710a0001857750,00039,bonjour tout le monde,13,38
5c656b9664710a0001857753,00143,bonjour tout le monde,2,29
5c65756d64710a0001857755,00002,bonjour tout le monde,2,31
5c65791264710a0001857756,00003,bonjour tout le monde,8,34
5c6579c664710a0001857757,00089,bonjour tout le monde,5,34
5c65856764710a000185775b,00118,bonjour tout le monde,5,30
5c65a24064710a000185775f,00048,bonjour tout le monde,14,41
5c671051b361ed00019e65e0,00011,bonjour tout le monde,5,26
5c6a819eb361ed00019e65e6,00002,bonjour tout le monde,12,15
5c6abcd7b361ed00019e65ef,00052,bonjour tout le monde,1,12
5c6b3344b361ed00019e65f5,00032,bonjour tout le monde,3,16
5c6c0bd9b361ed00019e65fb,00118,bonjour tout le monde,1,24
5c6c1ab4b361ed00019e65fd,00039,bonjour tout le monde,4,18
5c6d3843b361ed00019e6603,00003,bonjour tout le monde,6,33
5c6d4768b361ed00019e6604,00072,bonjour tout le monde,7,31
5c6d4b8db361ed00019e6605,00139,bonjour tout le monde,8,23
5c6d715fb361ed00019e6610,00068,bonjour tout le monde,5,34
5c6dbd32b361ed00019e6613,00079,bonjour tout le monde,6,36
5c6dc026b361ed00019e6615,nan,bonjour tout le monde,0,1
5c6dc026b361ed00019e6616,nan,bonjour tout le monde,0,2
5c6dc026b361ed00019e6617,nan,bonjour tout le monde,0,1
5c6dc026b361ed00019e6618,nan,bonjour tout le monde,0,1
5c6dc026b361ed00019e6619,00039,bonjour tout le monde,9,33
5c6e6632b361ed00019e6623,00011,bonjour tout le monde,0,2
5c6e6632b361ed00019e6624,00011,bonjour tout le monde,2,4
5c6e6632b361ed00019e6625,00011,bonjour tout le monde,7,24
5c6e6f26b361ed00019e662a,00053,bonjour tout le monde,21,23
5c6eafcbb361ed00019e6645,00142,bonjour tout le monde,1,3
5c6eafcbb361ed00019e6646,00142,bonjour tout le monde,0,1
5c6eafcbb361ed00019e6647,00142,bonjour tout le monde,4,30
5c6ecda5b361ed00019e664e,00138,bonjour tout le monde,4,30
5c6ef13eb361ed00019e6656,00039,bonjour tout le monde,1,36
5c6fc2c6b361ed00019e6666,00033,bonjour tout le monde,0,25
